name_metro,x,y
RM Porto Velho,-64.30428235682854,-9.1541226228584
RM Manaus,-60.25969861709293,-2.6258751704394028
RM Belém,-48.45990995678111,-1.2407129144991842
RM Santarém,-55.238345851689935,-2.6793887506916185
RM Macapá,-50.69182649915419,0.5627487846300215
RM Gurupi,-48.887260788465134,-11.651561198217612
RM Palmas,-48.15209987550508,-10.220183711658683
RM Grande São Luís,-44.280902211987176,-2.6336871718095067
RIDE - Teresina,-42.74060231897703,-5.1026119978850435
RM Sobral,-40.22790873120043,-3.8110471448359413
RM Fortaleza,-38.528001527236334,-3.7858322330379757
RM Natal,-35.22884388047473,-5.803171235183701
RM do Vale do Piancó,-37.94218087663385,-7.201295237674641
RM de Esperança,-35.8903193360309,-6.998174180506045
RM Guarabira,-35.44801656748248,-6.877846704324114
RM Campina Grande,-35.96565824910012,-7.263559219530724
RM João Pessoa,-34.86953053906645,-7.165463805461276
RM de Cajazeiras,-38.54098413217482,-6.919847117405181
RM de Sousa,-38.225214115289205,-6.739727857271881
RM de Araruna,-35.75506181578027,-6.52423675628405
RM Patos,-37.3168901026656,-6.995486605710037
RM do Vale do Mamanguape,-35.155891830315646,-6.720724690307943
RM de Itabaiana,-35.35426854515748,-7.348407139064713
RM Recife,-34.933088591962154,-8.039338554114499
RIDE Petrolina/Juazeiro Região Administrativa Integrada de Desenvolvimento do Polo Petrolina/PE e Juazeiro/BA,-40.572400578193815,-9.01969897610514
RIDE Petrolina/Juazeiro Região Administrativa Integrada de Desenvolvimento do Polo Petrolina/PE e Juazeiro/BA,-40.274525327797484,-9.556819496319942
RM Maceió,-35.71138499108637,-9.52238245437775
RM Aracaju,-37.0948988284839,-10.99418467204447
RM Salvador,-38.51474367607625,-12.873486093254243
RM Belo Horizonte,-43.95996925467418,-19.90266298898173
RM Grande Vitória,-39.096294408655105,-20.337470566710348
AU de Piracicaba-AU- Piracicaba,-47.78395525819977,-22.726490289840378
RM de Sorocaba,-47.44666457083116,-23.464613530771587
RM Ribeirão Preto,-47.82127467069122,-21.21081902130096
RM Campinas,-47.04374748862617,-22.88374083683208
RM São Paulo,-46.64802117445899,-23.649906915384836
AU de Jundiaí,-46.913004619514695,-23.19458701213139
RM Curitiba,-49.28823542307368,-25.47787595469494
RM Campo Mourão,-52.3806907656899,-24.102483251050575
RM de Umuarama,-53.414240548239455,-23.67979596792703
RM Londrina,-51.11044309002185,-23.514137234241737
RM Cascavel,-53.37977929589419,-25.029201919803963
RM Maringá,-51.96778897189055,-23.400926196240576
RM Apucarana,-51.44615607765754,-23.572268417384464
RM Toledo,-53.77769701382828,-24.704795081278
RM Chapecó,-52.650366386977936,-27.125107247046547
RM Florianópolis,-48.50813318947126,-27.577718625481026
RM Lages,-50.34025621550924,-28.020050825022558
RM Tubarão,-49.03727466373851,-28.481572571994956
RM Foz do Rio Itajaí,-48.75338113762218,-26.968995033933133
RM Porto Alegre,-51.16457992543201,-30.095251119115684
AU do Sul - Rio Grande do Sul,-52.40421927842547,-32.21941581797014
RM Vale do Rio Cuiabá,-55.955666964880834,-15.452266526944385
RM Goiânia,-49.27416911299457,-16.64331969168842
